term,replacement
of,of
king,king
dunia,dunia
halo,halo
mathmaching,matchmaking
brawluntuk,brawl
inikemenangan,menang
kompeten,kompeten
dev,dev
ahli,ahli
mengecek,cek
inin,ini
direport,report
mereport,report
energi,energi
emosional,emosi
seminggu,minggu
percaya,percaya
ngepush,push
ampe,sampai
subuh,subuh
tabrak,tabrak
matchmakhing,matchmaking
ngalah,kalah
trol,troll
msh,masih
kpn,kapan
urus,urus
ulas,ulas
menjatuh,jatuh
adillah,adil
time,time
udaa,udah
bela,bela
belain,bela
gadang,gadang
malem,malem
pagi,pagi
gaa,tidak
melaporkanmemberikan,lapor
beda,beda
hormat,hormat
komunitas,komunitas
gimna,gimana
gilamulai,gila
hatibukan,hati
skil,skill
nyamulai,mulai
laneskil,lane
dimilikipartian,milik
rasisdam,rasis
lagigak,lagi
ad,ada
sistembukan,sistem
kuras,kuras
bro,bro
sabar²,sabar
streaknya,streak
terus²an,terus
lahh,lah
teamnya,tim
parahhhh,parah
waras,waras
lagikalo,lagi
papa,papa
batas,batas
kewajaranyang,wajar
alami,alami
sayatolong,saya
lahuntuk,untuk
fps,fps
gameplaynya,gameplay
gane,game
ngebuat,buat
my,my
derita,derita
kau,kamu
sesoan,sok
cepet,cepet
lemah,lemah
curang,curang
bodo,bodo
ngetrool,troll
benci,benci
mengecewah,kecewa
resource,resource
resourcenya,resource
udahlah,sudah
pulak,pula
haduehhh,hadeh
seringsering,sering
herohero,hero
lamalama,lama
tagih,tagih
room,room
wangirw,wangi
sajakalau,saja
telinga,telinga
tulinya,tuli
sinyalpadahal,sinyal
ruang,ruang
dinikmati,nikmat
oranggk,orang
mampudan,mampu
pengaturanudh,aturan
version,version
menglami,alami
berkecapatan,cepat
sekedar,sekedar
teliti,teliti
fragmen,fragmen
levelnya,level
fullharusnya,full
koin,koin
dibatasi,batas
heronya,hero
murah,murah
dongwlod,download
word,word
it,it
trik,trik
bosen,bosen
band,ban
turunin,turun
tuju,tuju
orong,orang
bawa,bawa
blog,blog
roger,roger
cpt,cepat
tebel,tebel
demeg,deg
kings,king
mapnya,map
disitu,situ
signal,signal
kuning,kuning
bisnis,bisnis
ratingnya,rate
ppk,ppk
mmk,mmk
kntl,kntl
jmbdevent,dev
belakangangua,belakang
nihtiba,tiba
sendiripas,sendiri
farm,farm
jalansinyal,sinyal
ilangpadahal,hilang
test,test
paketan,paket
nyaml,mlbb
jmbd,jmbd
butt,buff
penjoki,joki
jam,jam
ea,ea
batu,batu
badmood,badmood
mcl,mc
silver,silver
final,final
sndiri,sendiri
smua,semua
betah,betah
tarung,tarung
buktinyacapek,bukti
darksystem,darksistem
dihilanginkatanya,hilang
buktiny,bukti
wsnya,winstreak
bos,bos
bbrp,berapa
mitik,mythic
daritadi,dari
plislah,plis
maksih,makasih
atasi,atas
tenang,tenang
oya,ya
amanan,aman
no,no
mentingin,penting
colab,collab
butuh,butuh
macthking,matchmaking
rebut,rebut
lane,lane
losstereak,losestreak
solusi,solusi
ditim,tim
tempur,tempur
intens,intens
unik,unik
cipta,cipta
taktik,taktik
intuitif,intuitif
pukau,pukau
perangkat,perangkat
rutin,rutin
jaga,jaga
esports,esports
fenomena,fenomena
pikat,pikat
penjuru,penjuru
smg,semoga
mkn,makin
stay,stay
mid,mid
gaikut,gaikut
mm,mlbb
setaik,tai
salam,salam
ajg,anjing
nurun,nurun
drastis,drastis
renk,rank
payah²,payah
la,la
ngadepin,hadap
puas,puas
tapisering,tapi
gagal,gagal
profil,profil
hbis,habis
warna,warna
macth,match
ktmu,ketemu
saber,sabar
roaming,roam
slh,salah
turret,turet
moomtod,moonton
trhormat,hormat
tetkait,kait
perbaikiterkadang,perbaiki
jgan,jangan
klw,kalau
jringan,jaringan
line,line
romjnglemidmaskmanfahtre,roam
plyer,player
tiem,tim
hlangkain,hilang
aidan,aidan
chiter,cheater
ditingkatkan,tingkat
digua,saya
ditemani,teman
seson,season
hancurrr,hancur
parahh,parah
busukkkk,busuk
moontod,moonton
