term,replacement
tabrak,tabrak
ngeglic,glitch
beratus,ratus
terselaikan,selesai
sii,si
klow,klow
maap,maaf
diperbaharui,baru
kuras,kuras
kantong,kantong
perbaiki,perbaiki
reconnecting,reconnect
history,history
jangkau,jangkau
squaddan,squad
ad,ad
seiring,sering
riset,riset
sasen,season
embnya,emb
merah,merah
sensasi,sensasi
nikmat,nikmat
ping,ping
ms,ms
black,black
screen,screen
msalah,masalah
susahh,susah
nekan,nekan
responsif,responsif
misi,misi
catat,catat
metro,metro
bagustapi,bagus
ampunmasa,ampun
baju,baju
mahal,mahal
fragment,fragment
silver,silver
itupun,itu
laga,laga
tolonglah,tolong
asyik,asik
adain,ada
bronze,bronze
conqueror,conqueror
tanggap,tanggap
kesal,kesal
darat,darat
tembakin,tembak
jahat,jahat
bang,bang
keras,keras
kaki,kaki
walupun,walaupun
volume,volume
yak,ya
pazel,pazel
aj,aja
lambat,lambat
terbuka,buka
tagih,tagih
temennya,temen
jg,juga
cewek,cewek
rilek,rileks
kon,kon
jaringanbug,bug
bangettp,banget
thx,makasih
yangpernah,pernah
maeninsayang,main
skinnya,skin
kereen,keren
tuhgame,game
ka,ka
boros,boros
batre,baterai
oke,oke
tololl,tolol
gue,saya
anjingggg,anjing
ngentodd,ngentod
leg,lag
sadar,sadar
open,open
fire,fire
cashnya,cash
tinggiotomatis,tinggi
kontrol,kontrol
char,karakter
tersendat,sendat
jngan,jangan
udahtua,udah
classic,klasik
mantaumerhatikan,perhaikan
kedengeran,dengar
backsound,backsound
lagu,lagu
ngerusak,rusak
mood,mood
kd,kd
nungguin,nunggu
tmbah,tambah
matchmakingnya,match
scope,scope
geser,geser
arah,arah
bosenin,bosan
enimasi,enimasi
aipen²,aipen
cocok,cocok
dr,dr
maintenance,maintenance
selesai²,selesai
persulit,sulit
huft,huft
pantesan,pantes
patah²,patah
terjun,terjun
burem,burem
emng,emang
starlink,starlink
handphone,hp
legend,legend
free,free
hape,hp
freze,freeze
uninstal,uninstall
ngefreze,freeze
knp,kenapa
mengeluhsetiap,keluh
temensaya,temen
jls,jelas
tp,tapi
jumpingsampai,jumping
diloby,lobi
tanda,tanda
kuningyang,kuning
heran,heran
seakan,akan
jeleksy,jelek
sy,saya
kill,kill
mvp,mvp
khusus,khusus
iphone,iphone
minggir,minggir
dlu,dulu
banya,banyak
ubah,ubah
mbs,mbs
vampir,vampir
sanga,sangat
laku,laku
kredit,kredit
skor,skor
kosong,kosong
luang,luang
kompetitif,kompetitif
individu,individu
santai,santai
okeee,oke
perketat,ketat
modifikasi,modifikasi
layak,layak
adill,adil
respek,rispek
dikit,dikit
ramah,ramah
segi,segi
players,player
jlas,jelas
nyatolong,tolong
iya,ya
mkin,makin
mainsoal,main
suda,sudah
pitur,fitur
old,old
hobi,hobi
pensiun,pensiun
bngt,banget
berkali,kali
dragon,dragon
ball,ball
ajklo,aja
divicenyabyar,device
playerhp,player
bru,baru
amanklo,aman
qt,qt
sya,saya
ngetik,ketik
nama,nama
maunya,mau
suit,suit
rintang,rintang
keseharian,hari
mnjadi,jadi
makna,makna
number,number
sandi,sandi
lahjgn,jangan
alami,alami
tanggal,tanggal
okt,okt
via,via
gems,game
lainya,lain
hirau,hirau
hadeuhhh,hadeh
sebelah,belah
br,baru
kerjasama,kerjasama
punnya,pun
teliti,teliti
sabar,sabar
gameakun,game
hacktapi,hack
pulih,pulih
bisamasa,bisa
tersebutpercuma,tersebut
ajuain,ajuin
banyak²,banyak
tolakudah,tolak
ngeluarin,keluar
nyatapi,tapi
bagussdalam,bagus
menindaklanjuti,tindak
masalahbye,masalah
pengaruh,pengaruh
banned,ban
engga,tidak
pasan,pas
duit,duit
rusakk,rusak
bossaya,bos
mobileselama,mobile
bukakenapa,buka
kesan,kesan
baterai,baterai
panas,panas
sm,sama
skli,sekali
pdhl,padahal
signl,sinyal
bagustlong,bagus
even,even
mobilegrafik,mobile
dlm,dalam
keren²,keren
baguss,bagus
titik,titik
perfect,perfect
ngebak,bug
atw,atau
ngelak,lag
ngecrash,crash
kedepannya,depan
pastinya,pasti
lu,lu
bkn,bukan
ny,nya
luas,luas
sungguh,sungguh
resah,resah
adrenalin,adrenalin
team,tim
squad,squad
kompak,kompak
masingdan,masing
itemnya,item
seasik,asik
kawan,kawan
pintu,pintu
pandang,pandang
alam,alam
manja,manja
sakit,sakit
bengkak,bengkak
prilaku,perilaku
dikasih,kasih
pelanggarankeamanan,langgar
ditingkatkan,tingkat
nyaga,nya
kameramohon,kamera
ngembangin,kembang
mantab,mantap
bagusss,bagus
sekalikurang,sekali
gratiskan,gratis
permanensatu,permanen
bintangsudah,bintang
pubgsampai,pubg
glaksier,glacier
gratisgaca,gratis
kupun,pun
dapatgimana,dapat
tensen,tencent
diperkecilagar,kecil
spes,spek
sesen,sen
umur,umur
thn,tahun
musuhh,musuh
jenuh,jenuh
pacu,pacu
mpe,sampai
kga,tidak
wkwkwkwkkw,wkwk
muantaaapppppppsssss,mantap
sekian,sekian
trlalu,terlalu
apa²,apa
tahu²,tahu
livik,livik
jugatolong,juga
itukalo,itu
is,is
masalahcoba,masalah
belur,lag
malas,malas
pasang,pasang
seruu,seru
lompat,lompat
gamennyapermudahkan,game
gaca,gatcha
kraftontencen,tencent
voice,voice
msh,masih
rajalela,rajalela
hack,hack
hs,hs
aim,aim
hilangtidak,hilang
hubung,hubung
ulanggua,ulang
trouble,trouble
selulernah,seluler
ketik,ketik
ngntd,ngentod
klu,kalau
terimah,terima
thank,thank
you,you
costume,costume
predators,predator
scar,scar
busa,busa
trimakasih,makasih
tenset,tencent
uc,uc
gemplay,gemeplay
grafis,grafik
hdr,hdr
optimalkan,optimal
memperbaharui,baru
banyakin,banyak
gratis,gratis
asah,asah
pilih,pilih
strategi,strategi
aslii,asli
ketagihancuma,ketagihan
powerkarna,power
stamina,stamina
konsentrasi,konsentrasi
negri,negeri
belajar,ajar
bahasa,bahasa
woimales,malas
gamekenapa,game
fbmalah,facebook
baca,baca
terkahirribet,akhir
gamemending,game
gameplaynya,gameplay
hilagin,hilang
thanx,makasih
shader,shader
repot,repot
gerakin,gerak
mobill,mobil
bom,bom
ledak,ledak
mobil,mobil
infinite,infinite
upload,upload
dipencet,pencet
fiturfitur,fitur
pokonya,pokok
algoritma,algoritma
perfek,perfect
mantappp,mantap
pribadi,pribadi
macettt,macet
perbaharui,baru
best,best
pubgmobiletapi,pubg
cobalah,coba
tup,tup
and,and
tuntas,tuntas
misijangan,misi
playrs,player
brduit,duit
so,so
skali,sekali
tensend,tencent
gift,gift
segini,gini
dehkadang,kadang
sendiriserver,sendiri
jaringn,jaringan
andai,andai
resource,resource
kecilkan,kecil
kerenn,keren
hanphone,hp
sanggup,sanggup
bagiamana,bagaimana
nomorgmail,nomor
kemarin,kemarin
bulm,bulm
mantaptidak,mantap
very,very
goodmungkin,good
hehe,hehe
krn,karena
jga,juga
geam,game
pertingikan,tinggi
ivent,event
pron,pron
kemiringang,miring
diskon,diskon
updatetan,update
ngefrem,frame
pkok,pokok
tan,tan
optimal,optimal
donwld,download
lucu,lucu
helm,helm
venom,venom
xixixixi,xixi
mh,mah
aga,agak
kesell,kesel
ajah,aja
putar,putar
ratusan,ratus
glaciar,glacier
dapt,dapat
fast,fast
kondusif,kondusif
hukum,hukum
afk,afk
menyenangkanhanya,senang
upgretannya,upgrade
kmaren,kemaren
vakum,vakum
citer,cheater
basmi,basmi
dn,dan
maju,maju
sippp,sip
smua,semua
trimaksh,makasih
defolefer,developer
rander,rander
blum,belum
huhhh,hah
masak,masak
warewolf,warewolf
nggk,tidak
nyerang,serang
prik,prik
gjls,gajelas
jlk,jelek
gelay,gelay
grafiknya,grafik
op,op
bedain,beda
bujang,bujang
mangkin,mangkin
upgradenya,upgrade
komentar,komentar
mines,minus
bnyak,banyak
ubgrade,upgrade
gamesnya,game
kentangnya,kentang
hahahahhahahah,haha
okee,oke
turnamen,turnamen
patahpatah,patah
benerbener,bener
real,real
battleground,battleground
besttapi,best
hap,hap
beratsedangkan,berat
serucuman,seru
perbarui,baru
ksh,kasih
tas,tas
toko,toko
murah,murah
mudah,mudah
gabung,gabung
emulator,emulator
lingkung,lingkung
spesial,spesial
didik,didik
latih,latih
interaksi,interaksi
uji,uji
toleransi,toleransi
sumba,sumba
barat,barat
dark,dark
system,sistem
ngefek,efek
fair,fair
mantpppp,mantap
spya,supaya
jau,jauh
my,my
loding,loading
berulangkali,berulang
kemenu,menu
pemberitahuan,berita
inggris,inggris
gerti,ngerti
kak,kak
centang,centang
notice,notice
kemunu,kemana
mekanik,mekanik
antusias,antusias
baharu,haru
bentar,bentar
seasen,season
belom,bom
seminggu,minggu
peta,peta
jelasapa,jelas
dket,dekat
progres,progres
senggang,senggang
sks,sks
slr,slr
damage,damage
upgrade,upgrade
saing,saing
batle,battle
huh,huh
syukurin,syukur
pnting,penting
satuberilah,satu
weapon,weapon
lengkap,lengkap
set,set
fpp,fpp
tps,tps
tunjang,tunjang
recommended,rekomen
seimbangi,imbang
mempuni,pun
bagustak,bagus
lai,lai
bagusnyaterasa,bagus
beneran,benar
huuuh,huh
bukin,bikin
penasaran,penasaran
macetmacetnya,macet
diatasin,atas
jatuh,jatuh
luka,luka
juang,juang
ml,ml
ubg,ubg
upgrad,upgrade
fool,fool
nyah,nya
ramaikan,ramai
tpp,tpp
sayah,saya
super,super
config,config
stay,stay
kenceng,kenceng
ghensin,genshin
mnit,menit
all,all
completed,completed
teleport,teleport
gamau,gamau
reload,reload
broken,broken
menghiburbanyak,hibur
positif,positif
pelajari,ajar
setia,setia
pejuang,juang
sejatilah,sejati
sang,sang
juara,juara
monoton,monoton
muah,muak
gaenak,gaenak
kebnyakan,banyak
dihibahkan,hibah
tanks,tank
bertahuntahun,tahun
glasier,glacier
ngesek,ngesek
damping,damping
hidup,hidup
lahh,lah
gapapa,gapapa
populer,populer
diudara,udara
payung,payung
scoop,scoop
ggyro,gyro
mesti,mesti
derah,daerah
kocak,kocak
wajar,wajar
lama²,lama
mikir,mikir
barang,barang
lamacuma,lama
dng,dengan
kitagame,kita
support,support
overall,overall
collab,collab
benci,benci
sayap,sayap
papji,pubg
mimin,min
ketawa,ketawa
percaya,percaya
dmna,dimana
dipembaruan,baru
nyuruh,suruh
musti,pasti
bareng,bareng
keluarga,keluarga
komplain,komplain
usaha,usaha
